,pop,fips_str
62559,4631,42003010302
62560,4310,42003020100
62561,1471,42003020300
62562,3044,42003030500
62563,1843,42003040200
62564,1629,42003040400
62565,2840,42003040500
62566,2302,42003040600
62567,3722,42003040900
62568,1561,42003050100
62569,1960,42003050600
62570,1380,42003050900
62571,2187,42003051000
62572,458,42003051100
62573,2448,42003060300
62574,1203,42003060500
62575,2278,42003070300
62576,2996,42003070500
62577,2215,42003070600
62578,2530,42003070800
62579,4196,42003070900
62580,1867,42003080200
62581,1650,42003080400
62582,1892,42003080600
62583,2034,42003080700
62584,2034,42003080900
62585,2073,42003090100
62586,2657,42003090200
62587,1473,42003090300
62588,2023,42003100500
62589,2537,42003101100
62590,3301,42003101400
62591,2532,42003101800
62592,2698,42003101900
62593,4054,42003110200
62594,2346,42003110600
62595,2785,42003111300
62596,1302,42003111400
62597,3228,42003111500
62598,2093,42003120300
62599,1574,42003120900
62600,1161,42003130200
62601,3505,42003130600
62602,2068,42003130700
62603,2177,42003130800
62604,6118,42003140100
62605,2468,42003140200
62606,3405,42003140300
62607,2254,42003140400
62608,1884,42003140500
62609,4919,42003140800
62610,1432,42003141100
62611,4081,42003141200
62612,5136,42003141300
62613,4997,42003141400
62614,2425,42003151600
62615,4919,42003151700
62616,2334,42003160800
62617,3303,42003160900
62618,2902,42003161000
62619,3882,42003170200
62620,1630,42003170600
62621,1966,42003180300
62622,2259,42003180700
62623,1913,42003190300
62624,2276,42003191100
62625,2429,42003191400
62626,1995,42003191500
62627,4076,42003191600
62628,3427,42003191700
62629,5106,42003191800
62630,2159,42003191900
62631,3571,42003192000
62632,2548,42003202200
62633,3677,42003202300
62634,3458,42003241300
62635,1268,42003250900
62636,2167,42003260200
62637,1618,42003260700
62638,2996,42003261300
62639,2174,42003261400
62640,1871,42003261500
62641,2466,42003262000
62642,2459,42003270100
62643,2213,42003270300
62644,2375,42003270800
62645,4310,42003271600
62646,2471,42003281400
62647,1480,42003281500
62648,1841,42003290100
62649,4268,42003290200
62650,3957,42003290400
62651,4188,42003300100
62652,3272,42003310200
62653,1846,42003320400
62654,2232,42003320600
62655,1880,42003320700
62656,4449,42003401100
62657,2812,42003401200
62658,2845,42003401300
62659,3214,42003402000
62660,4328,42003403500
62661,1438,42003404000
62662,1099,42003405000
62663,2289,42003406000
62664,5793,42003407001
62665,6457,42003407002
62666,5727,42003408001
62667,6129,42003408002
62668,9310,42003409001
62669,5418,42003409002
62670,1235,42003410000
62671,4087,42003411001
62672,5903,42003411002
62673,4708,42003412002
62674,6542,42003412003
62675,4055,42003412004
62676,6737,42003413100
62677,4085,42003413201
62678,2745,42003413202
62679,4550,42003413300
62680,4442,42003413400
62681,6879,42003413500
62682,5453,42003414101
62683,6953,42003414102
62684,5976,42003414200
62685,4725,42003415001
62686,2550,42003415002
62687,1475,42003416000
62688,2131,42003417100
62689,1242,42003417200
62690,1638,42003418000
62691,3108,42003419000
62692,1532,42003420000
62693,4959,42003421100
62694,4247,42003421200
62695,5299,42003422000
62696,2890,42003423000
62697,3189,42003424000
62698,3413,42003425000
62699,6249,42003426300
62700,4203,42003426400
62701,2218,42003426700
62702,5225,42003426800
62703,3377,42003427000
62704,5524,42003427100
62705,4544,42003427200
62706,1200,42003428100
62707,2028,42003428200
62708,2532,42003429100
62709,4978,42003429201
62710,4514,42003429202
62711,6533,42003429300
62712,4375,42003429400
62713,4428,42003429500
62714,3601,42003429600
62715,2252,42003429700
62716,2052,42003430100
62717,4608,42003430200
62718,3244,42003431100
62719,1848,42003431400
62720,3144,42003431500
62721,2287,42003432300
62722,2452,42003432400
