,Unnamed: 0_x,fips_str,ep_pov,ep_bipoc,ep_carless,ep_overcrowd,risk_score,Unnamed: 0_y,pop
11,62570,42003050900,0.7304347826086957,0.991304347826087,0.7655826558265583,0.024,1.0,62570,1380
79,62638,42003261300,0.5977970627503337,0.6722296395193591,0.3366533864541832,0.088,0.8773610744436853,62638,2996
13,62572,42003051100,0.7882096069868996,0.8231441048034934,0.4810126582278481,0.0,0.7509704351112995,62572,458
40,62599,42003120900,0.5044472681067345,0.8570520965692503,0.4312080536912752,0.0289999999999999,0.731484567131006,62599,1574
39,62598,42003120300,0.449593884376493,0.9842331581462016,0.3175487465181058,0.035,0.7273889628714947,62598,2093
44,62603,42003130800,0.6260909508497933,0.941662838768948,0.4093816631130064,0.0,0.7106503369453446,62603,2177
375,62934,42003564800,0.5443362378267556,0.8836494105586878,0.3827319587628865,0.021,0.7080021612814728,62934,1951
92,62651,42003300100,0.440305635148042,0.5950334288443171,0.3074154067674586,0.061,0.6872152776098439,62651,4188
9,62568,42003050100,0.4125560538116592,0.9545163356822548,0.5225522552255225,0.0,0.6733825973756602,62568,1561
42,62601,42003130600,0.5135520684736091,0.9118402282453638,0.4144067796610169,0.0,0.6692099434570079,62601,3505
43,62602,42003130700,0.4912959381044487,0.961798839458414,0.4347399411187438,0.0,0.6687331642503418,62602,2068
345,62904,42003552100,0.5972523499638467,0.6080983369486623,0.625,0.0,0.6668016637487728,62904,1383
38,62597,42003111500,0.4154275092936803,0.6833952912019826,0.3604878048780487,0.0409999999999999,0.656735673287883,62597,3228
7,62566,42003040600,0.7914856646394439,0.1624674196350999,0.3665865384615384,0.044,0.6533070146904154,62566,2302
298,62857,42003513000,0.3963441818992421,0.7525635309852876,0.4609800362976406,0.024,0.6518868788454728,62857,2243
299,62858,42003513800,0.5700110253583242,0.8484013230429989,0.4166666666666667,0.0,0.6476162877878465,62858,1814
343,62902,42003551900,0.6078853046594982,0.546236559139785,0.6021650879566982,0.0,0.6426191772648047,62902,1395
374,62933,42003564700,0.4435344827586207,0.8008620689655173,0.4673721340388007,0.01,0.6390147020258368,62933,2320
202,62761,42003464400,0.5410301953818828,0.5733570159857904,0.3356594556873691,0.034,0.6369044898453726,62761,2815
3,62562,42003030500,0.3922470433639947,0.7621550591327201,0.3842739378566899,0.026,0.6296078776028039,62562,3044
353,62912,42003561900,0.5710014947683109,0.9586447433981068,0.24853228962818,0.0,0.6251854725783212,62912,2007
255,62814,42003483800,0.402065404475043,0.7029259896729776,0.3710443037974683,0.025,0.606288292522213,62814,2905
260,62819,42003486700,0.1821994408201304,0.5503261882572228,0.5274841437632135,0.045,0.6059930599764584,62819,2146
301,62860,42003515100,0.3579525936104431,0.6090690484369632,0.3153791637136782,0.043,0.6004513193641623,62860,2911
248,62807,42003480101,0.2582604036435078,0.3773888194320414,0.1900897052541648,0.081,0.5964022952966607,62807,5599
12,62571,42003051000,0.3717421124828532,0.6534064929126657,0.4935064935064935,0.015,0.5933879555694104,62571,2187
354,62913,42003562000,0.4702111613876319,0.4928355957767723,0.4634937804218496,0.021,0.5904892518733712,62913,2652
357,62916,42003562500,0.4437635183850036,0.756308579668349,0.3177925784966698,0.017,0.5899001912944918,62916,2774
321,62880,42003523200,0.4017326732673267,0.6774752475247525,0.1474036850921273,0.046,0.5819298963546216,62880,4040
340,62899,42003550900,0.4903154399557277,0.6175982291090205,0.3991989319092123,0.009,0.5695921502127317,62899,1807
76,62635,42003250900,0.443217665615142,0.5615141955835962,0.3639344262295082,0.023,0.5685635761671529,62635,1268
296,62855,42003510000,0.4330117899249732,0.7277599142550911,0.3411619283065513,0.01,0.5619225012709433,62855,1866
253,62812,42003481000,0.4658921656240691,0.5135537682454573,0.4619602467443454,0.01,0.5564368383774216,62812,3357
300,62859,42003514000,0.4175285792052259,0.7506804572672836,0.3804755944931164,0.0,0.5440176703184585,62859,1837
347,62906,42003552300,0.4192938209331652,0.7168978562421185,0.3920817369093231,0.0,0.5388606580198562,62906,1586
355,62914,42003562300,0.4605529332434255,0.6119352663519892,0.3983495873968492,0.0,0.5247580589659611,62914,2966
4,62563,42003040200,0.4167118827997829,0.4861638632664135,0.380184331797235,0.016,0.5171566642459284,62563,1843
81,62640,42003261500,0.4398717263495457,0.7306253340459647,0.2989690721649484,0.0,0.5138968920211233,62640,1871
41,62600,42003130200,0.4608096468561585,0.8673557278208441,0.1647727272727272,0.0,0.5107988700621624,62600,1161
19,62578,42003070800,0.1498023715415019,0.4241106719367589,0.1458583433373349,0.076,0.5096927627277207,62578,2530
10,62569,42003050600,0.3224489795918367,0.8346938775510204,0.3197115384615384,0.0,0.5090993985052513,62569,1960
294,62853,42003508000,0.4187568157033806,0.346782988004362,0.2827102803738318,0.037,0.5087593181992215,62853,1834
90,62649,42003290200,0.3575445173383317,0.3739456419868791,0.3106694560669456,0.036,0.5012336916431879,62649,4268
8,62567,42003040900,0.6209027404621171,0.3293927995701236,0.2922490470139771,0.012,0.4984099399252644,62567,3722
341,62900,42003551200,0.3827238335435057,0.5942622950819673,0.246685878962536,0.019,0.4946752312469561,62900,3172
20,62579,42003070900,0.3148236415633937,0.4118207816968541,0.2944374738603095,0.036,0.4900018621293137,62579,4196
37,62596,42003111400,0.3847926267281106,0.5844854070660522,0.2935483870967741,0.01,0.4798971509359406,62596,1302
6,62565,42003040500,0.6950704225352112,0.1753521126760563,0.3941463414634146,0.0,0.4783008767967159,62565,2840
344,62903,42003552000,0.3531371460299833,0.6157690172126596,0.3805220883534136,0.0,0.4773628736135357,62903,1801
